KEY,English,Russian
amwCoordinates,Coordinates:,Координаты:
amwMarkerIcon,Marker Icon:,Значок маркера:
amwMarkerName,Marker Name:,Имя маркера:
amwRemoveonApproach,Remove on Approach,Удалить при приближении
amwShowonHud,Show on HUD,Показать на HUD
amwTitleAdd,ADD MAP MARKER,ДОБАВИТЬ МАРКЕР КАРТЫ
amwWaypoint,Waypoint,Маршрут
lkwArmorName,Name:,Имя:
lkwArmorSlot,Armor,Броня
lkwArmorStats,ARMOR STATS,ХАРАКТЕРИСТИКИ БРОНИ
lkwBoosterSlot,Boosters,Усилители
lkwColdResistance,Cold Resistance:,Устойчивость к холоду:
lkwComfortZone,Comfort Zone (Temp.):,Зона комфорта (темп.):
lkwDurability,Durability:,Прочность:
lkwHeatResistance,Heat Resistance:,Устойчивость к жаре:
lkwLocker,ARMOR LOCKER,ШКАФ АМУНИЦИИ
lkwRadiationLimit,Radiation Protection:,Радиационная защита:
lkwRadResistance,Radiation Resistance:,Устойчивость к радиации:
lkwRepairs,Number of Repairs:,Число ремонтов:
lkwStoredArmor,Locker,Шкафчик
bmAlienForest,Alien Forest,Инопланетный лес
bmAlienSavanna,Alien Savanna,Инопланетная саванна
bmArcticForest,Arctic Forest,Арктический лес
bmArcticHighForest,Artic High Forest,Арктический высокий лес
bmArcticHighPlains,High Plains,Высокогорье
bmArcticIntermediatePlains,Intermediate Plains,Плоскогорье
bmArcticLowPlains,Hot Springs,Горячие источники
bmBarrenFog,Mist,Туман
bmBarrenOpenPlains,Open Plains,Открытые равнины
bmBarrenRocks,Barren Rocks,Бесплодные скалы
bmDesertHighPlains,High Plains,Высокогорье
bmDesertLargeRocks,Large Rocks,Большие камни
bmDesertLowMountains,Low Mountains,Низкие горы
bmDesertLowPlains,Low Plains,Низины
bmDesertSmallLake,Lake,Лесное озеро
bmDesertSolitude,Desert Solitude,Безлюдная пустыня
bmIslands,Islands,Острова
bmLava,Lava,Лава
bmLavaFog,Lava Fog,Лавовые испарения
bmLavaPlains,Lava Plains,Лавовые равнины
bmMountains,Mountains,Горы
bmOcean,Ocean,Океан
bmOpenPlains,Open Plains,Открытые равнины
bmSmallLake,Lake,Малое озеро
bmSwamp,Swamp,Болото
bmTropicalForest,Tropical Forest,Тропический лес
bmTropicalIsland,Tropical Island,Тропический остров
bmWater,Lake,Озеро
AlienBlocks,Alien Building Blocks,Строительные блоки инопланетян
AlienFull,Alien Block,Блок инопланетян
AlienInteriorGreen01,Alien Block (Green),Блок инопланетян (зеленый)
AlienInteriorGreen02,Alien Block 2 (Green),Блок инопланетян 2 (зеленый)
AlienInteriorGreenWedge01,Alien Slope (Green),Блок инопланетян наклонный (зеленый)
AlienThin,Alien Block,Блок инопланетян
Artificialmass,Artificial Mass,Искусственная масса
ArtMassBlocks,Artificial Mass Blocks,Блоки искусственной массы
ArtMassCVBlocks,Artificial Mass Blocks,Блоки искусственной массы
ArtMassHeavy,Artificial Mass (Heavy),Искусственная масса (тяжелая)
ArtMassHeavyCV,Artificial Mass (Heavy),Искусственная масса (тяжелая)
ArtMassLight,Artificial Mass (Light),Искусственная масса (легкая)
ArtMassLightCV,Artificial Mass (Light),Искусственная масса (легкая)
ArtMassMedium,Artificial Mass (Medium),Искусственная масса (средняя)
ArtMassMediumCV,Artificial Mass (Medium),Искусственная масса (средняя)
ConcreteBlocks,Concrete Blocks,Бетонные блоки
ConcreteDestroyedBlocks,Concrete Blocks - Destroyed,Бетонные блоки - разбитые
