KEY,English,Russian,,
txt_CCSqK,Story Chapter 6: [c][00ffff]Uncertain Outcomes[-][/c],Сюжетная глава 6: [c][00ffff]Неопределенные результаты[-][/c],,
txt_G82mO,The Meeting,Встреча,,
txt_GEmSJ,The private rooms are on the upper deck of the station.,Личные комнаты находятся на верхней палубе станции.,,
txt_4Gq0a,The Meeting,Встреча,,
txt_Se0SC,Find the meeting room and talk to the GLaD spokesperson named Sectioner32,Найдите комнату для переговоров и поговорите с представителем GLaD по имени Sectioner32.,,
txt_mmWeS,Find Sectioner32,Найдите Sectioner32,,
txt_maWWO,Find Sectioner32,Найдите Sectioner32,,
txt_a3Auq,[c][80ffff]Really abort the mission? Please confirm![-][/c]\n\nYou can restart the mission via your PDA (F1) at any time.,"[c][80ffff]Действительно прервать миссию? Пожалуйста, подтвердите! [-][/c]\n\nВы можете начать миссию через КПК (F1) в любое время.",,
txt_Keo8i,Foreign Intel,Внешняя разведка,,
txt_GCmci,Foreign Intel,Внешняя разведка,,
txt_tCOCq,"[c][00ffff][GLaD] [-][/c]I have hacked into the station computers, not only for your landing permission but to announce you as an inspector. You can go wherever you want. Use this to your advantage, but don't attract suspicion. \n\nWalk around for a while, talk to the [c][fbff00]Station Manager[-][/c]\nThen find our contact at the [c][fbff00]Transport Manager[-][/c] desk.","[c][00ffff]GLaD [-][/c]Мы взломали компьютеры станции не только для разрешения на посадку, но и объявили вас инспектором. Вы можете пойти куда угодно. Используйте это в своих интересах, но не вызывайте подозрений. \n\nПройдите немного и поговорите с [c][fbff00]Менеджером станции[-][/c]\nЗатем найдите наш контакт у стола [c][fbff00]Менеджера транспорта[-][/c].",,
txt_iUC82,Play your role as a station inspector,Сыграйте роль инспектора станции,,
txt_G8e0e,Go to [c][fbff00]Landing Permission[-][/c],Перейдите в раздел [c][fbff00]Landing Permission[-][/c],,
txt_lu2Cj,Go to the signal,Идите к сигналу,,
txt_OCGG0,Foreign Intel,Внешняя разведка,,
txt_C08CW,Play your role as a station inspector,Сыграйте роль инспектора станции,,
txt_KWaSC,Speak to the Station Manager,Поговорите с менеджером станции,,
txt_SiSKC, - -,---,,
txt_8444m,Foreign Intel,Внешняя разведка,,
txt_40a0O,Meet the GLaD contact person at the Transport Manager desk,Познакомьтесь с контактным лицом GLaD за столом менеджера транспорта,,
txt_K04Wa,Speak to the Transport Manager,Поговорите с менеджером транспорта,,
txt_qQeqG,Speak to the Transport Manager,Поговорите с менеджером транспорта,,
txt_qmOKR,Foreign Intel,Внешняя разведка,,
txt_S8Oi8,Go to the station mining area and investigate,Отправляйся на участок добычи полезных ископаемых и расследуйте,,
txt_HOGWu,Go to the cellar,Идите под землю,,
txt_i2Sii,Follow the marker down to the mining area,Следуйте за маркером вниз к области добычи,,
txt_GaZG8,This has been a strange conversation... without any coherence. Maybe a hidden code?,"Это был странный разговор .. без какой-либо последовательности. Может быть, скрытый код?",,
txt_4WICm,Go to the mine shaft,Идите к шахте,,
txt_880uG,Descend into the mine,Спуститесь в шахту,,
txt_mquKm,Descend into the mine,Спуститесь в шахту,,
txt_OOi8c,"Ok, this seems to be the container. Let's look inside.","Хорошо, это похоже на контейнер. Давайте посмотрим внутрь …",,
txt_m80oi,Investigate,Расследование,,
txt_W8e6u,Check the container's content,Проверьте содержимое контейнера,,
txt_KWOe0,There is a pile of cloth and there is... really only a stick! \n\nThis is the [c][ffffff]Staff of Guidance[-][/c]?,Есть куча одежды и есть.. только эта палка! \n\nЭто [c][ffffff]Посох Управителя[-][/c]?,,
txt_q8quK,Powers of the Past,Силы прошлого,,
txt_00m4O,Find answers in the guts of the planet remnant asteroid,Найти ответы во внутренностях астероида планеты Remnant,,
txt_CAYeS,Find the Planetary Remnant,Найдите планету Remnant,,
txt_Coiie,Find the Planet Remnant,Найти планету Remnant,,
txt_4KGiO,"The same station we just escaped from... just a little bit more menacing. \nLet's see if the Staff of Guidance will lead us through this.\n\nWe'll [c][ffff80]land on the lower pad[-][/c] this time,\nnext to the perimeter beacon.","Та же самая станция, с которой мы только что сбежали .. чуть более угрожающая. \nДавайте посмотрим, проведет ли нас в это время Посох Управителя.\n\nМы на этот раз приземляемся[c][ffff80]lна нижнюю площадку[-][/c],\nрядом с периметром маяка.",,
txt_Swi4m,Powers of the Past,Силы прошлого,,
txt_W00ie,Check the Control Room,Проверьте комнату управления,,
txt_0K2am,Check the [c][fbff00]Perimeter Beacon[-][/c],Проверьте [c][fbff00]Периметральный маяк[-][/c].,,
txt_U8WWW,Land on the lower landing pad,Посадка на нижнюю посадочную площадку.,,
txt_4iqO8,"I suggest we start up in the control room. \n\nHopefully there are some data notes we can access, IDA?","Я предлагаю начать с комнаты управления. \n\nВозможно, есть какие-то заметки с данными, к которым мы сможем получить доступ, ВИКА?",,
txt_eeK0V,Check the Control Room,Проверьте комнату управления,,
txt_mG0e6,Proceed up to the control room,Продолжайте до контрольной комнаты,,
txt_WSq0W,[c][00ffff][IDA][-][/c] An access terminal should be somewhere on the upper levels.,[c][00ffff][ВИКА][-][/c] Терминал доступа должен находиться где-то на верхних уровнях.,,
txt_Omkq4,Powers of the Past,Силы прошлого,,
txt_KSCem,Find the data nodes,Найдите узлы данных,,
txt_WW80m,Find the terminal,Найдите терминал,,
txt_4Kemi,Find the terminal on the upper level,Найдите терминал на верхнем уровне,,
txt_W4Ger,Powers of the Past,Силы прошлого,,
txt_5WuK9,Find a way down to the mine shaft,Найдите путь к шахте,,
txt_uaGUq,So .. the Zirax and the Talon share some history?\nAnd the proof is hidden within this asteroid?\n\nOk... [c][ffff00]downstairs [-][/c]again.,Значит... у Зиракса и Тэлона есть общая история?\nА доказательство скрыто в этом астероиде?\n\nОк... [c][ffff00]внизу [-][/c]снова.,,
txt_4eK1K,Go to the mine shaft,Идите к шахте,,
txt_m08Oe,Go to the mine shaft entrance,Идите ко входу шахты,,
txt_0W4Ce,Powers of the Past,Силы прошлого,,
txt_TeOqm,Descend into mine,Спуск в шахту,,
txt_SremW,Descend into the mine,Спуск в шахту,,
txt_8OO0e,"Oh, how convenient. Someone has put some [c][ffff80]lights to mark the way[-][/c]. \n\nFollow the red string, down into the abyss.","О, как удобно. Кто-то поставил несколько лампочек [c][ffff80]чтобы отметить путь[-][/c]. \n\nСледуйте за красными огнями. Прямо в бездну.",,
txt_K0BaK,Powers Of The Past,Силы прошлого,,
txt_AS4Sa,Follow the red string,Следуйте за красными огнями,,
txt_40SuG,Follow the red lights,Следуйте за красными огнями,,
txt_GOWe4,Follow the red string,Следуйте за красными огнями,,
txt_imQa0,These materials. The inscriptions. \n\nVery familiar.,Эти материалы. Надписи. \n\nОчень знакомы.,,
txt_C8KOc,Powers Of The Past,Силы прошлого,,
txt_mOe08,Powers Of The Past,Силы прошлого,,
txt_COCuG,Powers Of The Past,Силы прошлого,,
txt_CSEKK,Follow the red lights,Следуйте за красными огнями,,
