KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
chptitleEliaStart,Elia Mission I,,,,,,,,Элия Миссия I,,,,,,,,
preambleEliaStart,You woke up and feel that something is not right with your house. Something happened in the last night. Not only in Elia but everywhere around the galaxy. For now you don't know what role you will play but something is telling  you that you can influence the story behind Dawn of Galaxy...,,,,,,,,"Вы проснулись и чувствуете, что что-то не так с вашим домом. Что-то случилось прошлой ночью. Не только в Элии, но и везде вокруг галактики. Пока вы не знаете, какую роль вы будете играть, но что-то подсказывает вам, что вы можете повлиять на историю создания Dawn of Galaxy...",,,,,,,,
chpdescEliaStart,"Get your stuff from your Personal Cargo Box, fill ammo into your Home Ammo box via the Control Panel (P) and make sure you are ready to go.",,,,,,,,"Получите ваши вещи из личного шкафчика, пополните боеприпасы в вашем ящике амуниции через панель управления (P) и убедитесь, что вы готовы к работе.",,,,,,,,
tasktitleEliaStart,Make yourself and your house ready,,,,,,,,Подготовьте себя и свой дом,,,,,,,,
acttitleEliaStartPersoCargo,Find your Personal Cargo Box,,,,,,,,Найдите свой личный шкафчик,,,,,,,,
actdescEliaStartPersoCargo,\nFind your Personal Cargo Box nearby and grab all the items inside,,,,,,,,Найдите свой личный шкафчик поблизости и возьмите все предметы внутри,,,,,,,,
acttitleEliaStartRunningBase,Fill your ammo box and Oxygen via the Control Panel (P),,,,,,,,Заполните ящик амуниции и бак кислорода через панель управления (P),,,,,,,,
actdescEliaStartRunningBase,\nPress ([c][FF8C3C][b]P[/b][-][/c]) and click on the [c][FF8C3C][b]Fill All [/b][-][/c]button to put all ammo inside your ammo boxes and Oxygen in the O2 Tanks.,,,,,,,,"Нажмите ([ff8000]P[-]) и нажмите кнопку [ff8000]Заполнить все[-], чтобы положить все боеприпасы в ваши ящики амуниции, а кислород в бак кислорода.",,,,,,,,
tasktitleEliaArtifact,Follow the alien block path,,,,,,,,Следуйте пути инопланетного блока,,,,,,,,
acttitleEliaArtifactScan,Inspect the Alien artifact outside,,,,,,,,Осмотреть инопланетный артефакт снаружи,,,,,,,,
actdescEliaArtifactScan,\nAfter you have grabbed all of your stuff from your Personal Container and supplied ammo to your Turret you will realize outside that you are not alone anymore,,,,,,,,"После того, как вы взяли все свои вещи из своего личного шкафчика и разместили боеприпасы к своей башне, вы поймете, что вы больше не одиноки.",,,,,,,,
acttitleEliaArtifactLoot,Loot the Alien artifact,,,,,,,,Обыщите артефакт Чужих,,,,,,,,
actdescEliaArtifactLoot,\nUse the loot wisely and make sure you are prepared for the journey which awaits you!,,,,,,,,"Используйте добычу с умом и убедитесь, что вы готовы к путешествию, которое ожидает вас!",,,,,,,,
completeEliaMissionI,"[c][FF8C3C][b]Unknown Voice[/b][-][/c]: Hey there?! Good you received our message... we need your help...\nplease come to Maiy Orbit and clear the Ex-7 Station! But before coming, prepare yourself & reach a higher level.\nA bigger adventure is waiting for you",,,,,,,,"[ff8000]Неизвестный голос:[-] Привет?! Хорошо, что вы получили наше сообщение... нам нужна ваша помощь...\nпожалуйста, прелетите на орбиту Майя и очистите станцию Ex-7! Но перед тем, как прийти, подготовьтесь и достигните более высокого уровня.\nВас ждет большое приключение",,,,,,,,
chptitleEliaStartII,Elia Mission II,,,,,,,,Элия Миссия II,,,,,,,,
chpdescEliaStartII,You got an important reward in your inventory. Build a motorbike and discover the Elia planet to get materials and levels.,,,,,,,,"Вы получили важную награду в инвентаре. Постройте мотоцикл и откройте для себя планету Элия, чтобы получить материалы и уровни.",,,,,,,,
completeEliaMissionII,[c][FF8C3C][b]Unknown Voice[/b][-][/c]: I hope this will help you to progress faster and help us!,,,,,,,,"[ff8000]Неизвестный голос:[-] надеюсь, это поможет вам быстрее прогрессировать чтобы помочь нам!",,,,,,,,
tasktitleEliaStartIIConst,Go to your Home Constructor,,,,,,,,Перейти к вашему домашнему конструктору,,,,,,,,
acttitleEliaStartIIConst,Use your Home Constructor,,,,,,,,Используйте свой домашний конструктор,,,,,,,,
actdescEliaStartIIConst,\nTo be able to craft a Motorbike and other things you need to go to a constructor. The better things you want to craft the better the constructor has to be.,,,,,,,,"Чтобы иметь возможность изготовить мотоцикл и другие вещи, вам нужно подойти к конструктору. Чем лучше вы хотите создать вещи, тем лучше должен быть конструктор.",,,,,,,,
tasktitleEliaStartII,Craft a Motorbike,,,,,,,,Изготовить мотоцикл,,,,,,,,
acttitleEliaStartIICraft,Use the Constructor in your Home,,,,,,,,Используйте конструктор в вашем доме,,,,,,,,
actdescEliaStartIICraft,\nThe faster you discover everything on Elia the faster you can help the unknown voice and reach a higher level.,,,,,,,,"Чем быстрее вы узнаете все об Элии, тем быстрее вы сможете помочь неизвестному голосу и достичь более высокого уровня.",,,,,,,,
