KEY,English,Deutsch
chptitleEleenI,"Eleen Mission I",""
preambleEleenI,"Welcome to the [c][019245]Invader vs Defender[-][/c] Scenario [c][ff6600]Defender[-][/c]!\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...",""
chpdescEleenI,"Get your stuff from your Personal Cargo Box and prepare yourself for the adventure out there. You can use this base as a good start to craft some stuff or seek shelter. But remember: everyone can use this base - your stuff is not protected.",""
chpcompleteEleenI,"Well done! You are now good to go [c][ff6600]Defender[-][/c]",""
tasktitleEleenI,"Follow the PDA instructions",""
acttitleEleenI-1,"Grab everything from your Personal Cargo Box",""
actdescEleenI-1,"\nLook at your right and open your Personal Cargo Box. There is everything you need for a good start. However this is an one time service. If you die or come back later you won't get these items again. So use your start inventory wisely!",""
actcompleteEleen-1,"Well done! You are now good to go [c][ff6600]Defender[-][/c]",""
chptitleM32I,"M32 Mission I",""
preambleM32I,"Welcome to the [c][019245]Invader vs Defender[-][/c] Scenario [c][ff6600]Invader[-][/c]!\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...",""
chpdescM32I,"Get your stuff from your Personal Cargo Box and prepare yourself for the adventure out there. You can use this base as a good start to craft some stuff or seek shelter. But remember: everyone can use this base - your stuff is not protected.",""
chpcompleteM32I,"Well done! You are now good to go [c][ff6600]Invader[-][/c]",""
tasktitleM32I,"Follow the PDA instructions",""
acttitleM32I-1,"Grab everything from your Personal Cargo Box",""
actdescM32I-1,"\nLook at your right and open your Personal Cargo Box. There is everything you need for a good start. However this is an one time service. If you die or come back later you won't get these items again. So use your start inventory wisely!",""
actcompleteM32-1,"Well done! You are now good to go [c][ff6600]Invader[-][/c]",""
chptitleTraderResidenceI,"Trader Residence Mission I",""
preambleTraderResidenceI,"Welcome to the [c][019245]Invader vs Defender[-][/c] Scenario [c][ff6600]Trader[-][/c]!\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...",""
chpdescTraderResidenceI,"Get your stuff from your Personal Cargo Box and prepare yourself for the adventure out there. You can use this base as a good start to craft some stuff or seek shelter. But remember: everyone can use this base - your stuff is not protected.",""
chpcompleteTraderResidenceI,"Well done! You are now good to go [c][ff6600]Trader[-][/c]",""
tasktitleTraderResidenceI,"Follow the PDA instructions",""
acttitleTraderResidenceI-1,"Grab everything from your Personal Cargo Box",""
actdescTraderResidenceI-1,"\nLook at your right and open your Personal Cargo Box. There is everything you need for a good start. However this is an one time service. If you die or come back later you won't get these items again. So use your start inventory wisely!",""
actcompleteTraderResidence-1,"Well done! You are now good to go [c][ff6600]Trader[-][/c]",""
chptitleFactionMissionI,"Faction Mission I",""
chpdescFactionMissionI,"As soon as you have a faction / team you can start your journey towards the Alien Mission.",""
chpcompleteFactionMissionI,"Good job and take this as a reward!",""
tasktitleFactionMissionI,"Prepare for the first Alien mission",""
acttitleFactionMissionI-1,"Find the portal",""
actdescFactionMissionI-1,"\nFly to [c][ff6600]Unknown Sector 7[-][/c] and find the Alienship Mission portal. You have only [c][ff6600]10 minutes[-][/c] - so don't waste your time in there.",""
actcompleteFactionMissionI-1,"You are good to go! Don't forget to prepare yourself for the mission!",""
acttitleFactionMissionI-2,"Activate the lever",""
actdescFactionMissionI-2,"\nFind the level in the Alien Ship to activate the portal out! Watch out - it is very good protected!",""
actcompleteFactionMissionI-2,"Good job and take this as a reward!",""
chptitleSurvivalBasecamp,"Escape Pod Mission I","Escape Pod Mission I"
preambleEscapePodStart,"You barely escaped with the last escape pod from the Titan Destroyer. However you got split from the rest of your crew and need to survive on that planet now. You only heard rumors about Aliens and some circumstances from other explorers on Kelt/Mato/Mercenary Camp.\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...",""
chpdescSurvivalBasecamp,"The first mission will teach you how to manage your stuff, find food and oxygen, set up your first crafting table, create a better weapon and more.\n\nIn short: it will help you to survive the first hours of the game!\n\nEach mission contains a number of main- and sub-tasks to follow as well as valuable background info and tips at the end of each task-page.\n\nFore more details please refert to the PDA Knowledgebase! \n\n[c][ff6600]You can always activate and deactivate each mission manually![-][/c]","Dir ist gerade noch so die Flucht in der letzten Fluchtkapsel von der Ex-7 Station gelungen. Allerdings wurdest du von deinem Team getrennt und bist jetzt auf dich allein gestellt auf dem Planeten.\nDu hast nur Gerüchte von Aliens und Schwierigkeiten von anderen Erkundern auf Kelt/Mato/Mercenary Camp gehört.\nDas erste Mission dieser Übungseinheit wird dir zeigen, wie du deine Ausrüstung organisiert, wie du an Nahrung und Sauerstoff kommst, deine ersten Gegenstände herstellst und vieles mehr um die ersten Spielstunden zu überstehen.\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du Tipps, die dir weiterhelfen können.\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[c][ff6600]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[-][/c]"
tasktitleCheckStartEquipment,"Check your Starting Equipment","Prüfe deine Startausrüstung"
taskheadCheckStartEquipment,"Check your starting equipment from Escape Pod","Prüfe deine Startausrüstung der Notlandekapsel"
