KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
chaptertitle1,Chapter 1 � Finally� some action!,,,,,,,,[ffffff]Глава 1 - Наконец-то некоторые действия![-],,,,,,,,
preamble1,"You are a covert operations specialist for the Union of Federal Planets (UFP). A recent spy report indicates that a new weapon is being constructed in secret by the Zirax Empire - the Union's biggest threat. Your mission is to find out what the secret weapon is, to locate it and then to destroy it. You have landed with the Tactical Commando Module on Brexxis, a desolate ice planet. Your superiors assume you can pick up the trail from there.\n\nDesigner's note: Please be careful when placing explosives in usual places or going crazy with rockets. While we made sure story related sensors can't be destroyed easily by accident, it's still possible. This could result in you not being able to progress on your mission. Always save the game before you enter story relevant POIs.",,,,,,,,"Вы являетесь секретным специалистом по операциям в Союзе Федеративных Планет (СФП). Недавний отчет от шпионов показывает, что Империя Зиракс тайно строит новое оружие - самую большую угрозу для Союза. Ваша миссия - выяснить, что это за секретное оружие, найти его и затем уничтожить. Вы приземлились с тактическим модулем коммандос на Brexxis, пустынной ледяной планете. Ваше начальство предполагает, что вы можете взять след оттуда.\n\n[ff0000]Примечание дизайнера:[-] будьте осторожны при размещении взрывчатых веществ в обычных местах или безумствовать ракетами. Хотя мы убедились, что сенсоры, связанные с сюжетом, не могут быть легко уничтожены случайно, это все же возможно. Это может привести к тому, что вы не сможете выполнить свою миссию. Всегда сохраняйте игру, прежде чем входить в сюжетные ТИ.",,,,,,,,
chpdesc1,"Now that you haven woken up from your cryo-sleep, you must check your base and the equipment the UFP has provided you with. The UFP hopes to find clues to the secret weapon's whereabouts by tracing down Zirax support routes. Find the Zirax Promethium refinery nearby and infiltrate it. Search for any information which can tell you more about the secret weapon.",,,,,,,,"Теперь, когда вы проснулись от крио-сна, вы должны проверить свою базу и оборудование, предоставленное вам СФП. СФП надеется найти ключи к местонахождению секретного оружия, отследив маршруты поддержки Зиракс. Найдите завод Zirax Promethium поблизости и проникните в него. Ищите любую информацию, которая может рассказать вам больше о секретном оружии.",,,,,,,,
tasktitle11,Setup the defenses of the Tactical Commando Module,,,,,,,,[ffffff]Настройте защиту тактического модуля коммандос[-],,,,,,,,
acttitle111,[c][ffffff]Inspect your personal cargo box,,,,,,,,[ffffff]Осмотрите свой личный грузовой ящик[-],,,,,,,,
actdesc111,Find your personal cargo box inside of the Tactical Commando Module and open it (hit F to interact with).,,,,,,,,"Найдите свой личный грузовой ящик внутри тактического модуля коммандос и откройте его (нажмите F, чтобы взаимодействовать).",,,,,,,,
complete111,\nThe UFP makes sure their agents are well equipped.,,,,,,,,"СФП гарантирует, что их агенты хорошо оснащены.",,,,,,,,
tasktitle12,Infiltrate the Zirax refinery,,,,,,,,[ffffff]Проникнуть на Очистительный завод Зиракс[-],,,,,,,,
acttitle121,[c][ffffff]Find the Zirax Promethium Refinery,,,,,,,,[ffffff]Надите Прометиевый очистительный завод Зиракс[-],,,,,,,,
actdesc121,Find the Promethium Refinery on Brexxis and get close enough to inspect it.,,,,,,,,"Найдите Прометиевый очистительный завод на Brexxis и подойдите достаточно близко, чтобы осмотреть его.",,,,,,,,
complete121,"\nIf you die and lose your equipment on this planet, choose ""Fresh Start"" to respawn with the starter equipment you already had on you at scenario start.",,,,,,,,"Если вы умрете и потеряете свое снаряжение на этой планете, выберите [b]Новый старт[/b], чтобы возродиться со стартовым снаряжением, которое у вас уже было при запуске сценария.",,,,,,,,
acttitle122,[c][ffffff]Find a console with cargo data,,,,,,,,[ffffff]Найти консоль с данными о грузе[-],,,,,,,,
