KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish
amwCoordinates,Coordinates:,Koordinaten:,Coordonnées :,Coordinate:,Coordenadas:,Coordenadas:,Coordenadas:,Współrzędne:,Координаты:,座標:,坐标:,座標：,좌표:,Koordinatlar:
amwMarkerIcon,Marker Icon:,Icon:,Icône du marqueur :,Icona Indicatore:,Icono de posición:,Ícone Marcador:,Icone de Marcação:,Ikona:,Значок маркера:,アイコン:,标记图标:,標記圖示：,마커 아이콘:,İşaret Sembolü:
amwMarkerName,Marker Name:,Name:,Nom du marqueur :,Nome Indicatore:,Marcador de nombre:,Nome Marcador:,Nome da Marcação:,Nazwa:,Имя маркера:,マーカー名:,标记名称:,標記名稱：,마커 이름:,İşaret Adı:
amwRemoveonApproach,Remove on Approach,Bei Annäherung entfernen,Supprimer en approche,Rimuovi in Prossimità,Eliminar al acercarse,Remover com Aproximação,Remover ao Aproximar-se,Usuń po osiągnięciu,Удалить при приближении,到着後に削除,接近后删除,接近時移除,접근 시 제거,Yaklaşınca Kaldır
amwShowonHud,Show on HUD,Auf HUD anzeigen,Afficher sur le HUD,Mostra sull'HUD,Mostrar en HUD,Mostrar no HUD,Mostrar no HUD,Wyświetl w HUD,Показать на HUD,HUDに表示,在游戏画面上显示,在抬頭顯示器顯示,HUD에 표시,Oyun Ekranında Göster
amwTitleAdd,ADD MAP MARKER,KARTENMARKER HINZUFÜGEN,AJOUT DE MARQUEUR GPS,AGGIUNGI INDICATORE SULLA MAPPA,AÑADIR MARCADOR DE MAPA,ADICIONAR MARCADOR MAPA,ADICIONAR MARCAÇÃO NO MAPA,DODAJ NOWY ZNACZNIK,ДОБАВИТЬ МАРКЕР КАРТЫ,マップマーカーを追加,添加地图标记,加入地圖標記,지도 마커 추가,HARİTA İŞARETİ EKLE
amwWaypoint,Waypoint,Wegpunkt,Waypoint,Waypoint,Coordenadas,Ponto de passagem,Waypoint,Punkt nawigacyjny,Маршрут,ウェイポイント,追踪,路標點,웨이포인트,Ara Nokta
lkwArmorName,Name:,Name:,Nom:,Nome:,Nombre:,Nome:,Nome:,Nazwa:,Имя:,名称:,名称:,名稱：,이름:,Adı:
lkwArmorSlot,Armor,Rüstung:,Armure,Armatura,Armadura:,Armadura,Armadura,Pancerz,Броня,アーマー,护甲,護甲,아머,Zırh
lkwArmorStats,ARMOR STATS,ARMORWERTE,STATS D'ARMURE,STATISTICHE ARMATURA,ESTADÍSTICAS DE ARMADURA,ESTATÍSTICAS ARMADURA,ESTATUS DA ARMADURA,PARAMETRY SKAFANDRA,Характеристики брони,アーマー性能,护甲状态,護甲屬性,아머 상태,ZIRH DEĞERLERİ
lkwBoosterSlot,Boosters,Booster:,Boosters,Potenziamenti,Reforzadores,Propulsores,Aperfeiçoamentos,Dopalacze,Усилители,ブースター:,强化器,推進器,부스터,Destekler
lkwColdResistance,Cold Resistance:,Kälteresistenz:,Tolérance au froid:,T° Minima:,Resistencia al frío:,Resistência ao frio:,Resistência ao Frio:,Odporność na chłód:,Хладостойкость:,耐寒性:,寒冷抗性:,抗寒冷性：,내한성:,Soğuk Direnci:
lkwComfortZone,Comfort Zone (Temp.):,Komfortbereich (Temp.):,Zone de confort (Temp.):,Zona di Comfort (Temp.):,Zona de confort (temp.),Zona de conforto (Temp.):,Zona de Conforto (Temp.):,Zakres ochrony (temp.):,Зона комфорта (темп.):,対応可能温度,适宜区域（温度）:,舒適區間（溫度）：,컴포트 존(임시):,Konfor Bölgesi (Sıca.):
lkwDurability,Durability:,Haltbarkeit:,Durabilité:,Durevolezza:,Durabilidad:,Duração:,Durabilidade:,Wytrzymałość:,Прочность:,耐久度:,耐久值:,耐久度：,내구성:,Dayanıklılık:
lkwHeatResistance,Heat Resistance:,Hitzeresistenz:,Tolérance à la chaleur:,T° Massima:,Resistencia al calor:,Resistência ao calor:,Resistência ao Calor:,Odporność cieplna:,Жаростойкость:,耐熱性:,炎热抗性：,抗炎熱性：,내열성:,Isı Direnci:
lkwLocker,ARMOR LOCKER,RÜSTUNGSSPIND,CASIER ARMURES,POSTAZIONE ARMATURA,DEPÓSITO DE ARMADURA,ARMÁRIO PARA ARMADURA,ARMÁRIO DE ARMADURA,SZAFA NA SKAFANDER,ШКАФ АМУНИЦИИ,アーマーロッカー,护甲更衣柜,護甲櫃,아머 로커,ZIRH DOLABI
lkwRadiationLimit,Radiation Protection:,Strahlungslimit:,Protection contre les radiations:,Protezione da Radiazioni:,Factor de radiación,Proteção contra radiações:,Prot. Contra Radiação:,Ochrona przed promieniowaniem:,Радиационная защита:,放射線防護:,辐射保护：,輻射防護：,방사선 방호:,Radyasyon Koruması:
lkwRadResistance,Radiation Resistance:,Strahlungsresistenz:,Résistance aux radiations:,Resistenza alle Radiazioni:,Resistencia a la radiación:,Resistência a radiações:,Resistência á Radiação:,Odporność na promieniowanie:,Устойчивость к радиации:,放射線抵抗:,辐射抗性：,抗輻射性：,방사선 내성:,Radyasyon Direnci:
lkwRepairs,Number of Repairs:,Anzahl Reparaturen:,Nb réparations:,Numero di Riparazioni:,Número de reparaciones:,Número de reparações:,Número de Reparos:,Liczba napraw:,Число починок:,修理数:,修理次数：,修理次數：,수리 횟수:,Tamir Sayısı:
lkwStoredArmor,Locker,Spind,Casier,Armadietto,Depósito,Armário,Armário,Zawartość,Шкафчик,ロッカー,更衣柜,儲物櫃,로커,Dolap
bmAlienForest,Alien Forest,Wald,Forêts Alien,Foresta Aliena,Bosque alienígena,Floresta Alien,Floresta Alienígena,Osobliwy las,Инопланетный лес,エイリアン・フォレスト,外星森林,外星森林,외계 숲,Uzay Ormanı
bmAlienSavanna,Alien Savanna,Savanne,Savane Alien,Savana Aliena,Sabana alienígena,Savana Alien,Savana Alienígena,Osobliwa sawanna,Инопланетная саванна,エイリアン・サバンナ,外星草原,外星草原,외계 사바나,Uzay Savanı
bmArcticForest,Artic Forest,Wald,Forêts arctiques,Foresta Artica,Bosque Ártico,Floresta Artic,Floresta Ártica,Zamrożony las,Арктический лес,厳寒の森,极地森林,極地森林,인공 숲,Arktik Orman
bmArcticHighForest,Artic High Forest,Wald,Hautes forêts arctiques,Alta Foresta Artica,Bosque alto Ártico,Alta Floresta Artic,Florestas Árticas Altas,Zamrożony wysoki las,Арктический высокий лес,厳寒の高地,极地密林,極地喬木林,인공 고원,Arktik Yüksek Orman
bmArcticHighPlains,High Plains,Hochgelegene Ebene,Hautes plaines,Alta Pianura,Llanuras elevadas,Planícies Elevadas,Planícies Altas,Wyżyny,Высокогорье,高原,高原,高原,고원,Yüksek Ovalar
bmArcticIntermediatePlains,Intermediate Plains,Mittleres Flachland,Plaines moyennes,Media Pianura,Llanuras intermedias,Planícies Intermédias,Planícies Intermediárias,Równiny,Плоскогорье,平原,中纬度平原,中層平原,평원,Ara Ovalar
bmArcticLowPlains,Hot Springs,Heisse Quellen,Basses plaines,Bassa Pianura,Manantiales calientes,Fontes Termais,Fontes Termais,Gorące źródła,Горячие источники,低地,低地,溫泉,온천,Kaplıcalar
bmBarrenFog,Mist,Nebelgebiet,Brume,Nebbia,Bruma,Neblina,Neblina,Mgła,Туман,霧,雾,迷霧,안개,Sis
bmBarrenOpenPlains,Open Plains,Flachland,Grandes plaines,Aperta Pianura,Llanuras abiertas,Planícies Abertas,Planícies Abertas,Rozległe niziny,Открытые равнины,平原,开阔平原,開闊平原,열린 평원,Açık Ovalar
bmBarrenRocks,Barren Rocks,Felsen,Rochers arides,Rocce Aride,Rocas áridas,Rochedos Áridos,Deserto Árido de Rochas,Jałowe skały,Бесплодные скалы,不毛の岩,贫瘠岩石,貧瘠岩地,불모의 바위,Kısır Kayalar
bmDesertHighPlains,High Plains,Hohes Flachland,Hautes plaines,Alta Pianura,Llanuras elevadas,Planícies Elevadas,Planícies Elevadas,Wydmy,Высокогорье,高原,高原,高原,고원,Yüksek Ovalar
