KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
chptitleEleenI,Eleen Mission I,,,,,,,,Элин Миссия I,,,,,,,,
preambleEleenI,Welcome to the [c][019245]Invader vs Defender[-][/c] Scenario [c][ff6600]Defender[-][/c]!\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...,,,,,,,,"Добро пожаловать в [00ff00]Захватчики против Защитников[-] Сценарий [ff8000]Защитников[-]!\n\nОфициальные правила Eleon Server находятся на официальных форумах:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nТам вы также можете найти правила или помощь, если вам это нужно.\n\nЕсли вы нашли ошибку, пожалуйста, сообщите о ней там же.\n\nТеперь веселитесь и хорошо готовьтесь к планете Пандора! Вы определенно хотите быть там...",,,,,,,,
chpdescEleenI,Get your stuff from your Personal Cargo Box and prepare yourself for the adventure out there. You can use this base as a good start to craft some stuff or seek shelter. But remember: everyone can use this base - your stuff is not protected.,,,,,,,,Получите свои вещи из своего личного шкафчика и приготовьтесь к приключениям там. Вы можете использовать эту базу как хорошее начало для создания чего-либо или поиска убежища. Но помните: каждый может использовать эту базу - ваши вещи не защищены.,,,,,,,,
chpcompleteEleenI,Well done! You are now good to go [c][ff6600]Defender[-][/c],,,,,,,,Отлично сработано! Теперь отправляйтесь к [ff8000]Защитнику[-],,,,,,,,
tasktitleEleenI,Follow the PDA instructions,,,,,,,,Следуйте инструкциям КПК,,,,,,,,
acttitleEleenI-1,Grab everything from your Personal Cargo Box,,,,,,,,Возьмите все с вашего личного шкафчика,,,,,,,,
actdescEleenI-1,\nLook at your right and open your Personal Cargo Box. There is everything you need for a good start. However this is an one time service. If you die or come back later you won't get these items again. So use your start inventory wisely!,,,,,,,,"Посмотрите направо и откройте свой личный шкафчик. Здесь есть все необходимое для хорошего старта. Однако это разовая услуга. Если вы умрете или вернетесь позже, вы больше не получите эти предметы. Так что используйте свой стартовый инвентарь с умом!",,,,,,,,
actcompleteEleen-1,Well done! You are now good to go [c][ff6600]Defender[-][/c],,,,,,,,Отлично сработано! Теперь отправляйтесь к [ff8000]Защитнику[-],,,,,,,,
chptitleM32I,M32 Mission I,,,,,,,,M32 Миссия I,,,,,,,,
preambleM32I,Welcome to the [c][019245]Invader vs Defender[-][/c] Scenario [c][ff6600]Invader[-][/c]!\n\nThe official Eleon Server rules are on the official forums:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nThere you can also find rules or help if you need any.\n\nIf you find a bug please report it there aswell.\n\nNow have fun and prepare well for the Pandora planet!\nYou definetely want to be there...,,,,,,,,"Добро пожаловать в [00ff00]Захватчики против Защитников[-] Сценарий [ff8000]Захватчиков[-]!\n\nОфициальные правила Eleon Server находятся на официальных форумах:\n\nhttps://empyriononline.com/forums/official-eleon-server.38/\n\nТам вы также можете найти правила или помощь, если вам это нужно.\n\nЕсли вы нашли ошибку, пожалуйста, сообщите о ней там же.\nТеперь веселитесь и хорошо готовьтесь к планете Пандора! Вы определенно хотите быть там...",,,,,,,,
