KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish
chptitleWelcomeBack,Chapter 1: The Robinson Protocol,Kapitel 1: Das Robinson Protokoll,Chapitre 1 : Le protocole Robinson,,,,Capítulo 1: O Protocolo Robinson,,Раздел 1: Протокол Робинзон,第一章：ロビンソン議定書,章节一：鲁滨逊计划,,,
chpPreWelcomeBack,"[i]...Initializing restart sequence...Checking logs...Reason for crash: unknown...Position: unknown...Titan: contact lost...Loading failsafe data...Restarting Integrated Data Assistant...Success![/i]\n\nGreetings, Commander!\n\nThis is I.D.A reporting for duty.\nI am glad you survived the incident! My internal sensors indicate only minor damage to your suit.\n\nAlthough your vital signs are within normal parameters, studies indicate that disorientation after such incidents is to be expected.\n\nTo assist you, I have created a list of tasks, following the Robinson Protocol. During our descent, the sensors of the escape capsule detected an uninhabited structure close by.","[i]...Neustart initialisiert...Logs werden geprüft...Absturzgrund: unbekannt...Postion: unbekannt...Titan: kein Kontakt...Sicherheitsspeicher wird geladen...Integrierter Daten Assistent wird geladen...Erfolgreich![/i]\n\n
Willkommen zurück, Commander!\n\nI.D.A. ist wieder voll einsatzbereit.\nIch bin froh dass Sie den Vorfall gut überstanden haben! Meine internen Sensoren zeigen nur minimale Schäden am Anzug.\n\nObwohl Ihre Lebensfunktionen innerhalb normaler Parameter liegen, belegen Studien dass es zu Desorientierung nach solchen Ereignissen kommen kann.\n\nIch habe Ihnen daher zur Unterstützung eine Liste an Aufgaben, basierend auf dem Robinson Protokoll erstellt. Die Sensoren der Notfallkapsel haben bereits einen geeigneten Unterschlupf in der Nähe gefunden.","[i]... Initialisation de la séquence de redémarrage... Vérification des journaux... Raison de l'accident : inconnu... Position : inconnu... Titan : contact perdu... Chargement des données de sécurité intégrée... Redémarrage de l'Assistant intégré de données... Succès![/i]\n\nSalutations, commandant!\nJe suis l'assistant I.D.A. Rapport d'activité :\nJe suis content que vous ayez survécu à l'incident ! Mes capteurs internes n'indiquent que des dégâts mineurs à votre armure.\n\nBien que vos signes vitaux soient stables, une possible désorientation est à prévoir.\n\nPour vous aider, j'ai créé une liste de tâches à effectuer suivant le Protocole Robinson. Au cours de notre descente, les capteurs du module de survie ont détecté une structure inhabitée à proximité.",,,,"[i]...Seqüência de reinicialização...Verificando logs...Motivo da queda: desconhecido...Posição: desconhecido...Titan: contato perdido...Carregando dados de segurança...Reiniciando o Assistente Integrado de Dados...Sucesso![/i]\n\nSaudações, Comandante!\n\nEste é o IDA reportando para o dever.\nEstou feliz que você tenha sobrevivido ao incidente! Meus sensores internos indicam apenas danos menores ao seu traje.\n\nApesar de seus sinais vitais estarem dentro dos parâmetros normais, estudos indicam que é esperada uma desorientação após tais incidentes.\n\nPara ajudá-lo, criei uma lista de tarefas seguindo o protocolo Robinson. Durante a nossa descida, os sensores da cápsula de escape detectaram uma estrutura desabitada por perto.",,"[i]...Инициализация последовательности перезапуска...Проверка журналов...Причина сбоя: неизвестно...Позиция: неизвестно...Титан: контакт потерян...Загрузка отказоустойчивых данных...Перезапуск данных интегрированного помощника...Успешно![/i]\n\nПоздравляю, Командующий!\n\nЭто отчет IDA для дежурства.\nЯ рад, что вы пережили инцидент! Мои внутренние датчики указывают только незначительный урон вашему костюму.\n\nВсе ваши жизненные показатели находятся в пределах нормальных параметров, но исследования показывают, что следует ожидать дезориентации после таких инцидентов.\n\nЧтобы помочь вам, я создал список задач следуя Протоколу Робинсона. Во время нашего спуска датчики спасательной капсулы обнаружили неподалеку необжитую структуру.","[i]  ...連続再起動のため初期化中...ログのチェック中...クラッシュの原因：不明...位置：不明...タイタン：連絡先が失われました...失敗したデータを読み込んでいます... .Success！[/ i] \ n \ n要閲覧のこと！\ n \ nあなたが無事なのは喜ばしいことです。これはIDAの職務報告です。 私の内部センサーは、あなたのスーツには、わずかなダメージしかないことを示しています。\ n \ nバイタルサインは正常なパラメーターの範囲内ですが、このような事故後には、先の展開は不明なことが、今までの研究によって明らかにされています。\ n \ あなたの助けになるよう、ロビンソン協定に従い、タスクのリストを作成しました。 降下中、エスケープカプセルのセンサーは、近くの無人の構造を検出しました。
",[i]...重启队列初始化中...检查日志...崩溃原因：未知...位置：未知...泰坦：失联...读取故障数据...重启数据整合助理成功！......[/i]\n\n n你好，指挥官！\n\nI.D.A向您报到。\n我很高兴在事故中您能幸存下来！我的内部传感器表明您的护甲只有轻微损伤。\n\n尽管您的生命体征都在正常范围内，研究表明，此类事件后大部分人都会感到不知所措。\n\n为了协助您，我按照鲁滨逊计划创建了一个任务列表。而且，在我们降落时，逃生舱的传感器发现附近有一座无人居住的建筑。,,,
chpdescWelcomeBack,I scanned the internal systems of the suit.\nSome of the integrated utilities are non-functioning but the critical ones are operational . I shall endeavor to repair or reconstruct them as we go.\n\nTechnical advice for handling the Survival Suit Mark II:\n\nThe internal suit logistic system allows easy adding or swapping items and tools to and from your toolbelt via [c][ff4444]drag&drop[-][/c] or holding [c][ff4444]SHIFT + left-mouse button[-][/c] click. This also works for emptying cargo containers!\n\nThe wireless command interface allows access of any device by just pointing at it and using button [c][ff4444]F[-][/c].\n\nTo show our communication feed press [c][ff4444].[-][/c] (period). Use [c][ff4444]Enter[-][/c] to close feed.\n\nPlease start the Robinson Protocol when you are ready.,"Bitte prüfen Sie zunächst Ihre Ausrüstung (TAB).\nEinige der Geräte scheinen defekt, aber die die wir benötigen, sind noch intakt. Ich werde versuchen, die defekten Geräte nach und nach wieder herzustellen\n\nHinweis zur Steuerung des Überlebensanzugs Mark II:\n\nDas interne Anzuglogistiksystem erlaubt Ihnen, Geräte und Gegenstände per [c][ff4444]Auswählen & Ziehen[-][/c] oder mit [c][ff4444]SHIFT + Linker Mausklick[-][/c] in den Werkzeuggürtel zu verlegen. Dies funktioniert identisch beim Leeren von Containern!\n\nDas kontaktlose Kommunikationsinterface erlaubt den Zugriff auf jedes Gerät. Zeigen Sie auf eines und drücken sie [c][ff4444]F[-][/c].\n\nDen Kommunikationsverlauf können Sie mit der Taste [c][ff4444].[-][/c] (Punkt) aufrufen. Schließen mit [c][ff4444]Eingabe[-][/c].\n\nBitte starten Sie das Robinson Protokoll sobald Sie bereit sind.","J'ai scanné les systèmes internes de la combinaison.\nQuelques-uns des utilitaires intégrés sont non fonctionnels, mais les principaux sont opérationnels. Je vais tenter de les réparer ou de les reconstruire au fur et à mesure.\n\nConseils techniques pour gérer la survie selon Mark II : Votre combinaison permet de facilement ajouter ou échanger des objets et outils vers et depuis votre barre outils, via[c][ff4444] glisser/déposer [-][/c]ou tenir appuyé[c][ff4444] Maj + bouton gauche souris [-][/c]Cela fonctionne aussi pour vider la barre outils !\n\nL'interface de commande sans fil permet d'accéder à n'importe quel dipositif en le visant et en utilisant la touche [c][ff4444]F[-][/c].\n\nPour afficher le < chat > global, tapez la touche[c] [ff4444] . [-] [/c]\nTapez[c] [ff4444]Entrée[-] [/c]pour le fermer.\n\nDémarrer le protocole Robinson lorsque vous êtes prêt.",,,,"Estudei os sistemas internos do traje.\nAlguns dos utilitários integrados não funcionam, mas os críticos estão operacionais. Eu vou tentar repará-los ou reconstruí-los à medida que avançarmos.\n\nConselhos técnicos para lidar com o Traje de Sobrevivência Mark II:\n\nO sistema logístico do processo interno permite uma fácil adição ou troca de itens e ferramentas para seu cinto de ferramentas [c][ff4444]arrastando e soltando[-][/c] ou segure [c][ff4444]SHIFT + botão esquerdo do mouse[-][/c]. Isso também funciona para esvaziar contêineres de carga!\n\nA interface de comando sem fio permite o acesso de qualquer dispositivo apenas apontando para ele e usando o botão [c][ff4444]F[-][/c].\n\nPara mostrar o canal de comunicação pressione [c][ff4444].[-][/c] (ponto). Use [c][ff4444]Enter[-][/c] para fechar.\n\nPor favor, comece o protocolo Robinson quando estiver pronto.",,"Я просмотрел внутренние системы костюма.\nНекоторые из интегрированных утилит не функционируют, но критические работают. Я попытаюсь отремонтировать или восстановить их пока мы будем идти.\n\nТехнический совет для костюма выживания Mark II:\n\nБольшая 
внутренняя система логистики позволяет легко добавлять или заменять предметы и инструменты через [c][ff4444]drag&drop[-][/c] или через [c][ff4444]SHIFT +ЛКМ[-][/c]. Это также работает для разгрузки грузовых контейнеров!\n\nБеспроводной Интерфейс позволяет получить доступ к любому устройству, просто указав на него и используя кнопку [c][ff4444]F[-][/c].\n\nЧтобы показать наше сообщение нажмите [c][ff4444].[-][/c] (period). Используйте [c][ff4444]Enter[-][/c] чтобы закрыть канал.\n\nПожалуйста, запустите Протокол Робинзон, когда вы будете готовы.",スーツの内部システムをスキャンしました。\ n一部の統合ユーティリティは機能していませんが、重要なユーティリティは動作しています。 サバイバルスーツMark IIを扱うための技術的アドバイス：\ n \ n内部スーツロジスティックシステムにより、[c]を介してあなたのツールベルトにアイテムやツールを簡単に追加または交換することができます。 [ff4444] [+] [/ c]をドラッグ＆ドロップするか、[c] [ff4444] SHIFT +左マウスボタン[ - ] [/ c]を押し続けます。 これは、貨物コンテナを空にする場合にも機能します！\ n \ nワイヤレスコマンドインターフェイスでは、[c] [ff4444] F [ - ] [/ c]ボタンを使用して任意のデバイスにアクセスできます。 フィードプレス[c] [ff4444]。[ - ] [/ c]（ピリオド）。 [c]を使用する[ff4444]フィードを閉じるには[ - ] [/ c]を入力してください。\ n \ n準備ができたらロビンソン協定のタスクを開始してください。,我扫描了护甲的内部系统，一些集成功能已损坏，但是核心电路完好，下一步我将努力修复或者更新这些功能。\n\n这件高阶生存护甲的操作如下：\n\n内部护甲转运系统可以轻松的从您的背包到快捷栏添加或替换物品或工具，通过鼠标左键[c][ff4444]拖拽和拖动[-][/c]或[c][ff4444]按住Shift + 点击鼠标左键[-][/c]。这也适用于从货箱存取物品！\n\n护甲上的无线命令接口允许您访问任何设备，只要对着它并使用按键[c][ff4444]F[-][/c]。\n\n若要显示我们之间的通信交流，可按[c][ff4444].[-][/c]（句号键），使用[c][ff4444]回车[-][/c]关闭交流。\n\n当你准备好了，请启动鲁滨逊计划。,,,
tasktitleCheckInventory,Check Loadout,Ausrüstung prüfen,Vérifier le chargement,,,,Verificar Equipamentos,,Проверить снаряжение,機器の確認,检查随身物品,,,
taskheadCheckInventory,Check Loadout,Ausrüstung prüfen,Vérifier le chargement,,,,Verificar Equipamentos,,Проверить снаряжение,機器の確認,检查随身物品,,,
acttitleCheckEscapePod,Grab items from Pod (F),Kapselinventar leeren (F),Récupérer les éléments du Pod (F),,,,Retire os itens da Cápsula (F),,Захватите предметы из Спасательной капсулы (F),脱出ポッドからアイテムを取り出すには”F”を押す,从逃生舱中拿取物品（F）,,,
actdescCheckEscapePod,\n[c][66ffff]I.D.A. -[000]-[-][/c]\nPoint at the Escape Capsuel and hit [c][ff4444]F[-][/c] . Move all items to your inventory by clicking the arrow button in the top right corner!,"\n[c][66ffff]I.D.A. -[000]-[-][/c]\nZeige auf die Rettungskapsel und drücke [c][ff4444]F[-][/c] . Verschiebe alle Gegenstände auf einmal in Deinen Rucksack, indem Du mit der Maus auf den Pfeil in der oberen rechten Ecke klickst!",\n[c] [66ffff] I.D.A. -[000]-[-][/c]\nVisez le module de survie et tapez[c] [ff4444] F[-] [/c]. Déplacer tous les éléments de votre inventaire en cliquant sur le bouton 'flèche' en haut à droite !\n,,,,\n[c][66ffff]I.D.A. -[000]-[-][/c]\nMire para Capsula de Fuga e aperte [c][ff4444]F[-][/c] . Mova todos itens da cápsula para seu inventário clicando na seta superior á esquerda!,,\n[c][66ffff]I.D.A. -[000]-[-][/c]\nНаведитесь на капсулу и нажмите [c][ff4444]F[-][/c] . Чтобы переместить все предметы к себе - нажмите на стрелку в верхнем правом углу!,\n[c][66ffff]I.D.A.   -[000]-[-][/c]\n脱出ポッドに近付き [c][ff4444]F[-][/c] を押し、右上隅にある矢印ボタンを押して全てのアイテムをインベントリへ移動させてください。,\n[c][66ffff]I.D.A. -[000]-[-][/c]\n对准逃生舱按[c][ff4444]F[-][/c]。一次将所有物品移至你的背包只要按一下容器打开画面顶部右上角的箭头按钮！,,,
acttitleCheckInventory,Open Inventory (TAB),Inventar öffnen (TAB),Ouvrir l'inventaire (Tab),,,,Abrir Inventário (TAB),,Откройте инвентарь (TAB),インベントリを開くには”TAB”を押す,打开背包（TAB）,,,
actdescCheckInventory,\n[c][66ffff]I.D.A. -[001]-[-][/c]\nI recommend adding some of the items to your toolbelt for quick access.\n\nOpen your inventory [c][ff4444](TAB)[-][/c] and drag&drop the items to the toolbelt on the bottom. You can also use SHIFT+left mouse button to move them!,"\n[c][66ffff]I.D.A. -[001]-[-][/c]\nIch möchte empfehlen, einige der Gegenstände zum schnelleren Gebrauch in Deinen Werkzeuggürtel zu verschieben.\n\nÖffne Deinen Rucksack [c][ff4444](TAB)[-][/c] und verschiebe die Gegenstände mit der Maus auf Deinen Werkzeuggürtel am unteren Rand. Du kannst sie auch durch SHIFT-Linksklick dorthin verschieben!",\n[c] [66ffff] I.D.A. -[001]-[-] [/c]\nJe recommande d'ajouter certains éléments à votre barre outils pour un accès rapide.\n\nOuvrez votre inventaire [c][ff4444] TAB[-] [/c] et faites glisser & déposer les éléments sur la barre outils en bas. Vous pouvez également utiliser Maj + bouton gauche de la souris pour les déplacer !,,,,[c][66ffff]I.D.A. -[001]-[-][/c]\nEu recomendo adicionar alguns itens ao seu cinto de ferramentas para um acesso rápido.\nAbra seu inventário [c][ff4444](TAB)[-][/c] e mova alguns itens para o cinto. Você pode usar SHIFT+BotãoEsq para movê-los!,,\n[c][66ffff]I.D.A. -[001]-[-][/c]\nЯ рекомендую добавить некоторые предметы на свою панель для быстрого доступа.\n\nОткройте свой инвентарь [c][ff4444](TAB)[-][/c] и перетащите предметы в набор инструментов внизу. Вы также можете использовать SHIFT + ЛКМ чтобы переместить их!,\n[c][66ffff]I.D.A.   -[001]-[-][/c]\nアイテムを素早く使用する為にツールバーへ装備する\n\n[c][ff4444](TAB)[-][/c] でインベントリを開き、ツールバーへアイテムをドラッグ＆ドロップするかShift + マウス左ボタンを押してください。,\n[c][66ffff]I.D.A. -[001]-[-][/c]\n我强烈建议将一些物品放到您的快捷栏以方便使用。\n\n打开你的背包[c][ff4444]（TAB）[-][/c] 将上述物品拖拽和拖动到屏幕下方的快捷栏。你也可以用按住SHIFT+点击鼠标左键的方式移动之！,,,
tasktitleEquipItems,Equip toolbelt,Werkzeuggürtel ausrüsten,Equiper la barre outils,,,,Equipar o cinto de ferramentas,,Оснастить панель инструментов,ツールバーへの装備,装备快捷栏,,,
